destination_code,sum
8a194ac00007fff,69
8a194ac0000ffff,276
8a194ac00017fff,557
8a194ac0001ffff,44
8a194ac0002ffff,54
8a194ac00047fff,193
8a194ac00057fff,1105
8a194ac0005ffff,6
8a194ac00067fff,395
8a194ac0006ffff,4
8a194ac00077fff,4
8a194ac00087fff,207
8a194ac0008ffff,847
8a194ac00097fff,16
8a194ac0009ffff,766
8a194ac000a7fff,109
8a194ac000affff,226
8a194ac000cffff,957
8a194ac000d7fff,41
8a194ac000dffff,5
8a194ac000e7fff,210
8a194ac000effff,1169
8a194ac000f7fff,21
8a194ac00107fff,76
8a194ac00117fff,86
8a194ac0011ffff,792
8a194ac00127fff,32
8a194ac0012ffff,64
8a194ac0014ffff,63
8a194ac00167fff,384
8a194ac00177fff,11
8a194ac0018ffff,632
8a194ac00197fff,389
8a194ac0019ffff,13
8a194ac001a7fff,58
8a194ac00207fff,9
8a194ac00217fff,721
8a194ac00227fff,32
8a194ac00257fff,157
8a194ac0025ffff,28
8a194ac0028ffff,217
8a194ac00297fff,215
8a194ac0029ffff,74
8a194ac002affff,258
8a194ac002b7fff,1265
8a194ac002c7fff,919
8a194ac002d7fff,17
8a194ac002dffff,88
8a194ac002e7fff,849
8a194ac002f7fff,81
8a194ac00387fff,86
8a194ac0039ffff,81
8a194ac003a7fff,10
8a194ac00407fff,369
8a194ac0040ffff,218
8a194ac00417fff,291
8a194ac00427fff,51
8a194ac00447fff,323
8a194ac0044ffff,694
8a194ac0045ffff,84
8a194ac00467fff,162
8a194ac0046ffff,390
8a194ac00477fff,164
8a194ac004c7fff,419
8a194ac004dffff,105
8a194ac004e7fff,61
8a194ac004f7fff,57
8a194ac0050ffff,83
8a194ac00517fff,45
8a194ac0051ffff,234
8a194ac0052ffff,236
8a194ac00537fff,385
8a194ac00547fff,31
8a194ac0054ffff,431
8a194ac00557fff,100
8a194ac00567fff,38
8a194ac0056ffff,133
8a194ac00577fff,1464
8a194ac00607fff,97
8a194ac0060ffff,2
8a194ac00617fff,542
8a194ac0061ffff,27
8a194ac00637fff,180
8a194ac00647fff,215
8a194ac0064ffff,154
8a194ac0065ffff,64
8a194ac00667fff,38
8a194ac0066ffff,208
8a194ac00677fff,178
8a194ac0068ffff,60
8a194ac00697fff,191
8a194ac006a7fff,70
8a194ac006affff,102
8a194ac006b7fff,630
8a194ac006c7fff,7
8a194ac006cffff,2
8a194ac006d7fff,1196
8a194ac006e7fff,8
8a194ac006effff,200
8a194ac006f7fff,59
8a194ac00707fff,401
8a194ac00717fff,297
8a194ac0071ffff,131
8a194ac00727fff,684
8a194ac0072ffff,200
8a194ac00737fff,206
8a194ac00747fff,90
8a194ac00757fff,938
8a194ac0075ffff,318
8a194ac00767fff,2381
8a194ac0076ffff,99
8a194ac00777fff,331
8a194ac00787fff,15
8a194ac0078ffff,603
8a194ac00797fff,267
8a194ac0079ffff,1195
8a194ac007a7fff,990
8a194ac007affff,430
8a194ac007b7fff,26
8a194ac00807fff,894
8a194ac0080ffff,5
8a194ac00817fff,93
8a194ac00827fff,837
8a194ac0082ffff,257
8a194ac00837fff,541
8a194ac00847fff,136
8a194ac0084ffff,833
8a194ac00857fff,641
8a194ac00877fff,697
8a194ac00887fff,7
8a194ac0088ffff,546
8a194ac00897fff,96
8a194ac0089ffff,242
8a194ac008a7fff,185
8a194ac008b7fff,460
8a194ac008d7fff,26
