origin_code,sum
8a194ac00007fff,74
8a194ac0000ffff,276
8a194ac00017fff,483
8a194ac0001ffff,36
8a194ac00027fff,0
8a194ac0002ffff,73
8a194ac00037fff,0
8a194ac00047fff,196
8a194ac0004ffff,0
8a194ac00057fff,1190
8a194ac0005ffff,0
8a194ac00067fff,395
8a194ac0006ffff,0
8a194ac00077fff,0
8a194ac00087fff,484
8a194ac0008ffff,890
8a194ac00097fff,548
8a194ac0009ffff,234
8a194ac000a7fff,109
8a194ac000affff,169
8a194ac000b7fff,12
8a194ac000c7fff,0
8a194ac000cffff,957
8a194ac000d7fff,109
8a194ac000dffff,13
8a194ac000e7fff,210
8a194ac000effff,1169
8a194ac000f7fff,21
8a194ac00107fff,177
8a194ac0010ffff,0
8a194ac00117fff,80
8a194ac0011ffff,1089
8a194ac00127fff,88
8a194ac0012ffff,64
8a194ac00137fff,0
8a194ac00147fff,0
8a194ac0014ffff,64
8a194ac00157fff,0
8a194ac0015ffff,0
8a194ac00167fff,647
8a194ac0016ffff,0
8a194ac00177fff,65
8a194ac00187fff,0
8a194ac0018ffff,723
8a194ac00197fff,403
8a194ac0019ffff,68
8a194ac001a7fff,16
8a194ac001affff,0
8a194ac001b7fff,0
8a194ac00207fff,0
8a194ac0020ffff,127
8a194ac00217fff,769
8a194ac0021ffff,57
8a194ac00227fff,32
8a194ac0022ffff,0
8a194ac00237fff,0
8a194ac00247fff,0
8a194ac0024ffff,0
8a194ac00257fff,32
8a194ac0025ffff,24
8a194ac00267fff,0
8a194ac0026ffff,0
8a194ac00277fff,0
8a194ac00287fff,0
8a194ac0028ffff,158
8a194ac00297fff,0
8a194ac0029ffff,136
8a194ac002a7fff,2
8a194ac002affff,258
8a194ac002b7fff,1319
8a194ac002c7fff,916
8a194ac002cffff,0
8a194ac002d7fff,9
8a194ac002dffff,0
8a194ac002e7fff,892
8a194ac002effff,0
8a194ac002f7fff,67
8a194ac00307fff,0
8a194ac0030ffff,0
8a194ac00317fff,0
8a194ac0031ffff,0
8a194ac00327fff,0
